System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers,,,1080 Avalanche,1775
arcade,bakutotu,Bakutotsu Kijuutei,,,x,x,,,,,,HORIZONTAL,1988,2,8 way,3,Namco,joy8way,,Namco,,,,#N/A
arcade,bankp,Bank Panic,x,x,x,x,x,,x,,,HORIZONTAL,1984,2,4 way,3,SEGA,joy2way,,Sanritsu / SEGA,,,,#N/A
arcade,baraduke,Baraduke,,,x,x,,,,,,HORIZONTAL,1985,2,8 way,1,Namco,joy8way,,Namco,,,,#N/A
arcade,batcir,Battle Circuit,x,x,x,x,x,,,,,HORIZONTAL,1997,4,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,batrider,Armed Police Batrider (Europe),x,x,x,x,x,,,,,VERTICAL,1998,2,8 way,3,Raizing,joy8way,,Raizing / Eighting,,,,#N/A
arcade,batsugunsp,Batsugun: Special Version,x,x,x,x,x,,x,x,,VERTICAL,1993,2,8 way,3,Toaplan,joy8way,,Toaplan,,,,#N/A
arcade,battlera,Battle Rangers,,x,x,x,,,,,,HORIZONTAL,1988,2,8 way,3,Data East,joy8way,,Data East,,,,#N/A
arcade,bayroute,"Bay Route (set 3, World)",,x,x,x,,,,,,HORIZONTAL,1989,2,8 way,3,SEGA,joy8way,,Sunsoft / SEGA,,,,#N/A
arcade,bbakraid,Battle Bakraid: Unlimited Version (USA),x,x,x,x,x,,,,,VERTICAL,1999,2,8 way,3,Raizing,joy8way,,Eighting,,,,#N/A
arcade,bbmanw,Bomber Man World,,x,x,x,,,,,,HORIZONTAL,1992,4,4 way,2,Irem,joy4way,,Irem / Hudson,,,,#N/A
arcade,bchopper,Battle Chopper,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,4,Irem,joy8way,,Irem,,,,#N/A
arcade,berzerk,Berzerk,x,x,x,x,x,,,,,HORIZONTAL,1980,2,8 way,1,Other,joy8way,,"Stern Electronics / Stern Electronics, Inc.",,,,#N/A
arcade,bgaregga,Battle Garegga (Europe),x,x,x,x,x,,x,x,,VERTICAL,1996,2,8 way,3,Raizing,joy8way,,Raizing / Eighting,,,,#N/A
arcade,bionicc,Bionic Commando,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,bioship,Bio-ship Paladin,,,x,x,,,,,,HORIZONTAL,1990,2,8 way,2,Other,joy8way,,UPL / American Sammy license,,,,#N/A
arcade,bjourney,Blue's Journey,,,x,x,,,,,,HORIZONTAL NEOGEO,1990,2,8 way,4,Neo Geo,joy8way,,Alpha Denshi Co. / ADK,,,,#N/A
arcade,blazstar,Blazing Star,x,x,x,x,x,,,,,HORIZONTAL NEOGEO,1998,2,8 way,4,Neo Geo,joy8way,,Yumekobo / SNK,,,,#N/A
arcade,blitz,NFL Blitz 1997,,x,x,x,,,,,,HORIZONTAL,1997,2,8 way,3,Midway,joy8way,stick,Midway Games,,,,#N/A
arcade,blitz2k,NFL Blitz 2000 Gold Edition,x,x,x,x,x,,,,,HORIZONTAL,1999,4,8 way,3,Midway,joy8way,stick,Midway Games,,,,#N/A
arcade,blitz99,NFL Blitz 1999,,x,x,x,,,,,,HORIZONTAL,1998,4,8 way,3,Midway,joy8way,stick,Midway Games,,,,#N/A
arcade,blktiger,Black Tiger,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,blockhl,Block Hole,,x,x,x,,,,,,HORIZONTAL,1989,2,4 way,3,Konami,joy4way,,Konami,,,,#N/A
